M,N,K
1, 16384, 16384
1, 106496, 16384
1, 16384, 53248
1, 18432, 16384
4, 16384, 16384
4, 106496, 16384
4, 16384, 53248
4, 18432, 16384
8, 16384, 16384
8, 106496, 16384
8, 16384, 53248
8, 18432, 16384
16, 16384, 16384
16, 106496, 16384
16, 16384, 53248
16, 18432, 16384
32, 16384, 16384
32, 106496, 16384
32, 16384, 53248
32, 18432, 16384
64, 16384, 16384
64, 106496, 16384
64, 16384, 53248
64, 18432, 16384
128, 16384, 16384
128, 106496, 16384
128, 16384, 53248
128, 18432, 16384
256, 16384, 16384
256, 106496, 16384
256, 16384, 53248
256, 18432, 16384
16384, 16384, 16384
16384, 106496, 16384
16384, 16384, 53248
16384, 18432, 16384

16, 1536, 7168
16, 3072, 1536
16, 576, 7168
16, 7168, 256
16, 7168, 2048
16, 4608, 7168
16, 7168, 2304
16, 512, 7168
16, 4096, 512
32, 1536, 7168
32, 3072, 1536
32, 576, 7168
32, 7168, 256
32, 7168, 2048
32, 4608, 7168
32, 7168, 2304
32, 512, 7168
32, 4096, 512
64, 1536, 7168
64, 3072, 1536
64, 576, 7168
64, 7168, 256
64, 7168, 2048
64, 4608, 7168
64, 7168, 2304
64, 512, 7168
64, 4096, 512
128, 1536, 7168
128, 3072, 1536
128, 576, 7168
128, 7168, 256
128, 7168, 2048
128, 4608, 7168
128, 7168, 2304
128, 512, 7168
128, 4096, 512
256, 1536, 7168
256, 3072, 1536
256, 576, 7168
256, 7168, 256
256, 7168, 2048
256, 4608, 7168
256, 7168, 2304
256, 512, 7168
256, 4096, 512
512, 1536, 7168
512, 3072, 1536
512, 576, 7168
512, 7168, 256
512, 7168, 2048
512, 4608, 7168
512, 7168, 2304
512, 512, 7168
512, 4096, 512
1024, 1536, 7168
1024, 3072, 1536
1024, 576, 7168
1024, 7168, 256
1024, 7168, 2048
1024, 4608, 7168
1024, 7168, 2304
1024, 512, 7168
1024, 4096, 512
1536, 1536, 7168
1536, 3072, 1536
1536, 576, 7168
1536, 7168, 256
1536, 7168, 2048
1536, 4608, 7168
1536, 7168, 2304
1536, 512, 7168
1536, 4096, 512
2048, 1536, 7168
2048, 3072, 1536
2048, 576, 7168
2048, 7168, 256
2048, 7168, 2048
2048, 4608, 7168
2048, 7168, 2304
2048, 512, 7168
2048, 4096, 512
4096, 1536, 7168
4096, 3072, 1536
4096, 576, 7168
4096, 7168, 256
4096, 7168, 2048
4096, 4608, 7168
4096, 7168, 2304
4096, 512, 7168
4096, 4096, 512
8192, 1536, 7168
8192, 3072, 1536
8192, 576, 7168
8192, 7168, 256
8192, 7168, 2048
8192, 4608, 7168
8192, 7168, 2304
8192, 512, 7168
8192, 4096, 512
16384, 1536, 7168
16384, 3072, 1536
16384, 576, 7168
16384, 7168, 256
16384, 7168, 2048
16384, 4608, 7168
16384, 7168, 2304
16384, 512, 7168
16384, 4096, 512
20480, 1536, 7168
20480, 3072, 1536
20480, 576, 7168
20480, 7168, 256
20480, 7168, 2048
20480, 4608, 7168
20480, 7168, 2304
20480, 512, 7168
20480, 4096, 512

1, 1280, 8192
64, 1280, 8192
127, 1280, 8192
129, 1280, 8192
65, 1280, 8192
32, 1280, 8192
128, 1280, 8192
192, 1280, 8192
256, 1280, 8192
320, 1280, 8192
512, 1280, 8192
1024, 1280, 8192
2048, 1280, 8192
4096, 1280, 8192
8192, 1280, 8192
1, 8192, 1024
32, 8192, 1024
64, 8192, 1024
128, 8192, 1024
192, 8192, 1024
256, 8192, 1024
320, 8192, 1024
512, 8192, 1024
1024, 8192, 1024
2048, 8192, 1024
4096, 8192, 1024
8192, 8192, 1024
16384, 8192, 1024
