M,N,K
1,9216,4096
2,9216,4096
4,9216,4096
8,9216,4096
16,9216,4096
32,9216,4096
64,9216,4096
128,9216,4096
256,9216,4096
1024,9216,4096
2048,9216,4096
4096,9216,4096
4240,9216,4096
16384,9216,4096
32768,9216,4096
1,4608,4096
2,4608,4096
4,4608,4096
8,4608,4096
16,4608,4096
32,4608,4096
64,4608,4096
128,4608,4096
256,4608,4096
1024,4608,4096
2048,4608,4096
4096,4608,4096
16384,4608,4096
32768,4608,4096
1,1280,8192
32,1280,8192
64,1280,8192
128,1280,8192
192,1280,8192
256,1280,8192
320,1280,8192
512,1280,8192
1024,1280,8192
2048,1280,8192
4096,1280,8192
8192,1280,8192
16384,1280,8192
1,8192,1024
32,8192,1024
64,8192,1024
128,8192,1024
192,8192,1024
256,8192,1024
320,8192,1024
512,8192,1024
1024,8192,1024
2048,8192,1024
4096,8192,1024
8192,8192,1024
16384,8192,1024
