M,N,K
1,1280,8192
16,1280,8192
32,1280,8192
64,1280,8192
128,1280,8192
256,1280,8192
512,1280,8192
1024,1280,8192
2048,1280,8192
4096,1280,8192
8192,1280,8192
16384,1280,8192
32768,1280,8192

1,2560,8192
16,2560,8192
32,2560,8192
64,2560,8192
128,2560,8192
256,2560,8192
512,2560,8192
1024,2560,8192
2048,2560,8192
4096,2560,8192
8192,2560,8192
16384,2560,8192
32768,2560,8192

1,10240,8192
16,10240,8192
32,10240,8192
64,10240,8192
128,10240,8192
256,10240,8192
512,10240,8192
1024,10240,8192
2048,10240,8192
4096,10240,8192
8192,10240,8192
16384,10240,8192
32768,10240,8192

1,8192,1024
16,8192,1024
32,8192,1024
64,192,1024
128,8192,1024
256,8192,1024
512,8192,1024
1024,8192,1024
2048,8192,1024
4096,8192,1024
8192,8192,1024
16384,8192,1024
32768,8192,1024

1,8192,2048
16,8192,2048
32,8192,2048
64,8192,2048
128,8192,2048
256,8192,2048
512,8192,2048
1024,8192,2048
2048,8192,2048
4096,8192,2048
8192,8192,2048
16384,8192,2048
32768,8192,2048

1,8192,8192
16,8192,8192
32,8192,8192
64,8192,8192
128,8192,8192
256,8192,8192
512,8192,8192
1024,8192,8192
2048,8192,8192
4096,8192,8192
8192,8192,8192
16384,8192,8192
32768,8192,8192

1,7168,8192
16,7168,8192
32,7168,8192
64,7168,8192
128,7168,8192
256,7168,8192
512,7168,8192
1024,7168,8192
2048,7168,8192
4096,7168,8192
8192,7168,8192
16384,7168,8192
32768,7168,8192

1,14336,8192
16,14336,8192
32,14336,8192
64,14336,8192
128,14336,8192
256,14336,8192
512,14336,8192
1024,14336,8192
2048,14336,8192
4096,14336,8192
8192,14336,8192
16384,14336,8192
32768,14336,8192

1,57344,8192
16,57344,8192
32,57344,8192
64,57344,8192
128,57344,8192
256,57344,8192
512,57344,8192
1024,57344,8192
2048,57344,8192
4096,57344,8192
8192,57344,8192
16384,57344,8192
32768,57344,8192

1,8192,3584
16,8192,3584
32,8192,3584
64,8192,3584
128,8192,3584
256,8192,3584
512,8192,3584
1024,8192,3584
2048,8192,3584
4096,8192,3584
8192,8192,3584
16384,8192,3584
32768,8192,3584

1,8192,7168
16,8192,7168
32,8192,7168
64,8192,7168
128,8192,7168
256,8192,7168
512,8192,7168
1024,8192,7168
2048,8192,7168
4096,8192,7168
8192,8192,7168
16384,8192,7168
32768,8192,7168

1,8192,28672
16,8192,28672
32,8192,28672
64,8192,28672
128,8192,28672
256,8192,28672
512,8192,28672
1024,8192,28672
2048,8192,28672
4096,8192,28672
8192,8192,28672
16384,8192,28672
32768,8192,28672
