M,N,K,bias,dtype,outdtype,scaleAB
1,1280,8192,False,torch.bfloat16,torch.bfloat16,False
16,1280,8192,False,torch.bfloat16,torch.bfloat16,False
32,1280,8192,False,torch.bfloat16,torch.bfloat16,False
64,1280,8192,False,torch.bfloat16,torch.bfloat16,False
128,1280,8192,False,torch.bfloat16,torch.bfloat16,False
256,1280,8192,False,torch.bfloat16,torch.bfloat16,False
512,1280,8192,False,torch.bfloat16,torch.bfloat16,False
1024,1280,8192,False,torch.bfloat16,torch.bfloat16,False
2048,1280,8192,False,torch.bfloat16,torch.bfloat16,False
4096,1280,8192,False,torch.bfloat16,torch.bfloat16,False
8192,1280,8192,False,torch.bfloat16,torch.bfloat16,False
16384,1280,8192,False,torch.bfloat16,torch.bfloat16,False
32768,1280,8192,False,torch.bfloat16,torch.bfloat16,False

1,2560,8192,False,torch.bfloat16,torch.bfloat16,False
16,2560,8192,False,torch.bfloat16,torch.bfloat16,False
32,2560,8192,False,torch.bfloat16,torch.bfloat16,False
64,2560,8192,False,torch.bfloat16,torch.bfloat16,False
128,2560,8192,False,torch.bfloat16,torch.bfloat16,False
256,2560,8192,False,torch.bfloat16,torch.bfloat16,False
512,2560,8192,False,torch.bfloat16,torch.bfloat16,False
1024,2560,8192,False,torch.bfloat16,torch.bfloat16,False
2048,2560,8192,False,torch.bfloat16,torch.bfloat16,False
4096,2560,8192,False,torch.bfloat16,torch.bfloat16,False
8192,2560,8192,False,torch.bfloat16,torch.bfloat16,False
16384,2560,8192,False,torch.bfloat16,torch.bfloat16,False
32768,2560,8192,False,torch.bfloat16,torch.bfloat16,False

1,10240,8192,False,torch.bfloat16,torch.bfloat16,False
16,10240,8192,False,torch.bfloat16,torch.bfloat16,False
32,10240,8192,False,torch.bfloat16,torch.bfloat16,False
64,10240,8192,False,torch.bfloat16,torch.bfloat16,False
128,10240,8192,False,torch.bfloat16,torch.bfloat16,False
256,10240,8192,False,torch.bfloat16,torch.bfloat16,False
512,10240,8192,False,torch.bfloat16,torch.bfloat16,False
1024,10240,8192,False,torch.bfloat16,torch.bfloat16,False
2048,10240,8192,False,torch.bfloat16,torch.bfloat16,False
4096,10240,8192,False,torch.bfloat16,torch.bfloat16,False
8192,10240,8192,False,torch.bfloat16,torch.bfloat16,False
16384,10240,8192,False,torch.bfloat16,torch.bfloat16,False
32768,10240,8192,False,torch.bfloat16,torch.bfloat16,False

1,8192,1024,False,torch.bfloat16,torch.bfloat16,False
16,8192,1024,False,torch.bfloat16,torch.bfloat16,False
32,8192,1024,False,torch.bfloat16,torch.bfloat16,False
64,192,1024,False,torch.bfloat16,torch.bfloat16,False
128,8192,1024,False,torch.bfloat16,torch.bfloat16,False
256,8192,1024,False,torch.bfloat16,torch.bfloat16,False
512,8192,1024,False,torch.bfloat16,torch.bfloat16,False
1024,8192,1024,False,torch.bfloat16,torch.bfloat16,False
