M,N,K,bias,dtype,outdtype,scaleAB
1,100,5120,False,torch.bfloat16,torch.bfloat16,False
16,100,5120,False,torch.bfloat16,torch.bfloat16,False
32,100,5120,False,torch.bfloat16,torch.bfloat16,False
64,100,5120,False,torch.bfloat16,torch.bfloat16,False
128,100,5120,False,torch.bfloat16,torch.bfloat16,False
256,100,5120,False,torch.bfloat16,torch.bfloat16,False
512,100,5120,False,torch.bfloat16,torch.bfloat16,False
1024,100,5120,False,torch.bfloat16,torch.bfloat16,False
2048,100,5120,False,torch.bfloat16,torch.bfloat16,False
4096,100,5120,False,torch.bfloat16,torch.bfloat16,False
8192,100,5120,False,torch.bfloat16,torch.bfloat16,False
16384,100,5120,False,torch.bfloat16,torch.bfloat16,False
32768,100,5120,False,torch.bfloat16,torch.bfloat16,False

1,200,5120,False,torch.bfloat16,torch.bfloat16,False
16,200,5120,False,torch.bfloat16,torch.bfloat16,False
32,200,5120,False,torch.bfloat16,torch.bfloat16,False
64,200,5120,False,torch.bfloat16,torch.bfloat16,False
128,200,5120,False,torch.bfloat16,torch.bfloat16,False
256,200,5120,False,torch.bfloat16,torch.bfloat16,False
512,200,5120,False,torch.bfloat16,torch.bfloat16,False
1024,200,5120,False,torch.bfloat16,torch.bfloat16,False
2048,200,5120,False,torch.bfloat16,torch.bfloat16,False
4096,200,5120,False,torch.bfloat16,torch.bfloat16,False
8192,200,5120,False,torch.bfloat16,torch.bfloat16,False
16384,200,5120,False,torch.bfloat16,torch.bfloat16,False
32768,200,5120,False,torch.bfloat16,torch.bfloat16,False

1,800,5120,False,torch.bfloat16,torch.bfloat16,False
16,800,5120,False,torch.bfloat16,torch.bfloat16,False
32,800,5120,False,torch.bfloat16,torch.bfloat16,False
64,800,5120,False,torch.bfloat16,torch.bfloat16,False
128,800,5120,False,torch.bfloat16,torch.bfloat16,False
256,800,5120,False,torch.bfloat16,torch.bfloat16,False
512,800,5120,False,torch.bfloat16,torch.bfloat16,False
1024,800,5120,False,torch.bfloat16,torch.bfloat16,False
2048,800,5120,False,torch.bfloat16,torch.bfloat16,False
4096,800,5120,False,torch.bfloat16,torch.bfloat16,False
8192,800,5120,False,torch.bfloat16,torch.bfloat16,False
16384,800,5120,False,torch.bfloat16,torch.bfloat16,False
32768,800,5120,False,torch.bfloat16,torch.bfloat16,False

1,5120,640,False,torch.bfloat16,torch.bfloat16,False
16,5120,640,False,torch.bfloat16,torch.bfloat16,False
32,5120,640,False,torch.bfloat16,torch.bfloat16,False
64,5120,640,False,torch.bfloat16,torch.bfloat16,False
128,5120,640,False,torch.bfloat16,torch.bfloat16,False
256,5120,640,False,torch.bfloat16,torch.bfloat16,False
512,5120,640,False,torch.bfloat16,torch.bfloat16,False
1024,5120,640,False,torch.bfloat16,torch.bfloat16,False
2048,5120,640,False,torch.bfloat16,torch.bfloat16,False
4096,5120,640,False,torch.bfloat16,torch.bfloat16,False
8192,5120,640,False,torch.bfloat16,torch.bfloat16,False
16384,5120,640,False,torch.bfloat16,torch.bfloat16,False
32768,5120,640,False,torch.bfloat16,torch.bfloat16,False

1,5120,1280,False,torch.bfloat16,torch.bfloat16,False
16,5120,1280,False,torch.bfloat16,torch.bfloat16,False
32,5120,1280,False,torch.bfloat16,torch.bfloat16,False
64,5120,1280,False,torch.bfloat16,torch.bfloat16,False
128,5120,1280,False,torch.bfloat16,torch.bfloat16,False
256,5120,1280,False,torch.bfloat16,torch.bfloat16,False
512,5120,1280,False,torch.bfloat16,torch.bfloat16,False
1024,5120,1280,False,torch.bfloat16,torch.bfloat16,False
2048,5120,1280,False,torch.bfloat16,torch.bfloat16,False
4096,5120,1280,False,torch.bfloat16,torch.bfloat16,False
8192,5120,1280,False,torch.bfloat16,torch.bfloat16,False
16384,5120,1280,False,torch.bfloat16,torch.bfloat16,False
32768,5120,1280,False,torch.bfloat16,torch.bfloat16,False

1,5120,5120,False,torch.bfloat16,torch.bfloat16,False
16,5120,5120,False,torch.bfloat16,torch.bfloat16,False
32,5120,5120,False,torch.bfloat16,torch.bfloat16,False
64,5120,5120,False,torch.bfloat16,torch.bfloat16,False
