cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,total_us
80,512,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,64,0,760.6357,moe_ck2stages_gemm1_256x64x64x64_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,426.7219,moe_ck2stages_gemm2_256x64x128x128_1x4_TypeCastExpertWeight_v3_Nswizzle0_no_MulRoutedWeight1,2.4%,1187.3576
80,512,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,64,0,377.0059,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_64x128_2tg_pf3E,0.0%,269.2044,moe_ck2stages_gemm2_256x64x128x256_1x4_MulABScaleExpertWeight_v3_Nswizzle0_per_token_MulRoutedWeight1,2.4%,646.2103
80,512,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Tensor,1,0,64,0,346.5174,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_64x256_pf3E,0.0%,225.6346,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeight_v3_Nswizzle0_per_tensor_MulRoutedWeight1,2.1%,572.152
80,4,2304,1536,8,2,ActivationType.Gelu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,32,0,18.8987,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf3E,0.0%,16.9605,moe_ck2stages_gemm2_256x32x64x256_1x4_MulABScaleExpertWeight_v1_Nswizzle0_per_token_MulRoutedWeight1,0.2%,35.8592
80,4,2304,1536,8,2,ActivationType.Gelu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,1,32,0,20.0471,_ZN5aiter56fmoe_stage1_bf16_pertokenFp8_doweight_g1u1_32x64_4tg_pf3E,0.0%,16.1797,moe_ck2stages_gemm2_256x32x64x256_1x4_MulABScaleExpertWeight_v1_Nswizzle0_per_token_MulRoutedWeight0,0.0%,36.2268
80,56,6144,4096,8,2,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,389.6922,moe_ck2stages_gemm1_256x64x128x128_1x4_MulABScaleExpertWeightA8W8blkscale_v3_Nswizzle0_per_1x128_MulRoutedWeight0_silu,0.0%,128.0998,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightA8W8blkscale_v3_Nswizzle0_per_1x128_MulRoutedWeight1,2.1%,517.792
80,16,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,457.1267,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,250.9869,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,2.8%,708.1136
80,32,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,842.6371,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,448.4958,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,2.9%,1291.1329
80,64,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,1055.0625,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,579.0959,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,2.7%,1634.1584
80,128,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,1162.6608,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,637.3112,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,2.9%,1799.9720000000002
80,256,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,1206.2989,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,677.1182,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,2.9%,1883.4171
80,512,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,1228.5943,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,742.1092,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,2.8%,1970.7035
80,1024,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,1549.4835,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,1048.5477,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,2.8%,2598.0312000000004
80,16,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,1,32,0,459.2154,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1_silu,0.0%,250.0338,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0,0.0%,709.2492
80,32,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,1,32,0,724.5065,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1_silu,0.0%,381.0979,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0,0.0%,1105.6044
80,64,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,1,32,0,1041.8478,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1_silu,0.0%,553.4974,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0,0.0%,1595.3452
80,128,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,1,32,0,1155.7542,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1_silu,0.0%,621.3659,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0,0.0%,1777.1201
80,256,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,1,32,0,1229.6976,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1_silu,0.0%,673.3784,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0,0.0%,1903.076
80,512,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,1,32,0,1286.5572,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1_silu,0.0%,730.78,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0,0.0%,2017.3372
80,1024,7168,512,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,1,32,0,1564.6015,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1_silu,0.0%,1019.8327,moe_ck2stages_gemm2_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0,0.0%,2584.4342
80,16,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,223.111,moe_ck2stages_gemm1_256x32x64x64_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,153.9122,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,1.4%,377.0232
80,32,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,371.1757,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,240.2681,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,1.4%,611.4438
80,64,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,512.3994,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,334.0284,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,1.3%,846.4277999999999
80,128,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,592.3627,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,374.2339,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,1.3%,966.5966
80,256,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,614.7264,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,399.7879,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,1.3%,1014.5143
80,512,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,626.7139,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,431.0309,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,1.3%,1057.7448
80,1024,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.bfloat16,QuantType.No,1,0,32,0,797.1001,moe_ck2stages_gemm1_256x32x64x128_1x4_TypeCast_v1_Nswizzle0_no_MulRoutedWeight0_silu,0.0%,606.5011,moe_ck2stages_gemm2_256x32x64x64_1x4_TypeCastExpertWeight_v1_Nswizzle0_no_MulRoutedWeight1,1.3%,1403.6012
