tile_m,tile_n,knl_name,co_name
16,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_16x128_4tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_16x128_4tg_pf2.co
16,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_16x128_4tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_16x128_4tg_pf3.co
32,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_32x128_3tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_32x128_3tg_pf2.co
32,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_32x128_3tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_32x128_3tg_pf3.co
48,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_48x128_2tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_48x128_2tg_pf2.co
48,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_48x128_2tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_48x128_2tg_pf3.co
64,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_64x128_2tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_64x128_2tg_pf2.co
64,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_64x128_2tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_64x128_2tg_pf3.co
80,128,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_80x128_2tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_80x128_2tg_pf2.co
80,128,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_80x128_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_80x128_pf3.co
96,128,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_96x128_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_96x128_pf2.co
96,128,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_96x128_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_96x128_pf3.co
112,128,_ZN5aiter46fmoe_stage1_bf16_pertokenInt8_g1u1_112x128_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_112x128_pf2.co
112,128,_ZN5aiter46fmoe_stage1_bf16_pertokenInt8_g1u1_112x128_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_112x128_pf3.co
128,128,_ZN5aiter46fmoe_stage1_bf16_pertokenInt8_g1u1_128x128_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_128x128_pf2.co
128,128,_ZN5aiter46fmoe_stage1_bf16_pertokenInt8_g1u1_128x128_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_128x128_pf3.co
144,128,_ZN5aiter46fmoe_stage1_bf16_pertokenInt8_g1u1_144x128_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_144x128_pf2.co
144,128,_ZN5aiter46fmoe_stage1_bf16_pertokenInt8_g1u1_144x128_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_144x128_pf3.co
